Station,Operator,District,State,Region,Generatorunits,Capacity(MW),Under Construction[43](MW),Coordinates
Potteru Hydro Electric Project,Odisha Hydro Power Corporation,Koraput,Odisha,Eastern,2 x 3,6,-,17°57′31″N 81°41′08″E﻿ / ﻿17.95861°N 81.68556°E
Jalaput Dam,Odisha Hydro Power Corporation,Koraput,Odisha & AP,Eastern,"3 x 23, 3 x 17",120,-,18°27′17″N 82°32′47″E﻿ / ﻿18.45472°N 82.54639°E
Rengali Dam,Odisha Hydro Power Corporation,Angul,Odisha,Eastern,5 x 50,250,-,21°16′36″N 82°32′54″E﻿ / ﻿21.27667°N 82.54833°E
Teesta-III,Teesta Urja Ltd,North Sikkim,Sikkim,Eastern,6 x 200,1200,,
Teesta-V,NHPC,East Sikkim,Sikkim,Eastern,3 x 170,510,-,25°30′50″N 89°39′56″E﻿ / ﻿25.51389°N 89.66556°E
Teesta Low Dam,NHPC,Darjeeling,West Bengal,Eastern,"4 x 33, 4 x 40",132,160,
Purulia pumped storage,WBSEB,Purulia,West Bengal,Eastern,4 x 225#,900,,
Panchet,DVC,Purulia,West Bengal,Eastern,"1 x 40, 1 x 40#",80,-,
Maithon,DVC,,West Bengal&Jharkhand,Eastern,3 x 20#,60,-,
Rangit,NHPC,South Sikkim,Sikkim,Eastern,3 x 20,60,-,
Chuzachen Hydroelectric Power Plant,GIPL,East Sikkim,Sikkim,Eastern,2 x 55,110,-,
Eastern,,,,16,60,3274.5,160,
Kambang Project[55],NHPC,,Arunachal Pradesh,North East,3 x 2,6,-,
Sippi Project[55],NHPC,,Arunachal Pradesh,North East,2 x 2,4,-,
Ranganadi,Neepco,,Arunachal Pradesh,North East,3 x 135,405,-,27°15′27″N 93°47′32″E﻿ / ﻿27.25750°N 93.79222°E
Lower Subansiri Hydroelectric Power Project,NHPC,Lower Subansiri,Arunachal Pradesh,North East,8 x 250,-,2000,27°33′13″N 94°15′31″E﻿ / ﻿27.55361°N 94.25861°E
Khuga Dam,,,Manipur,North East,,,-,24°18′N 93°9′E﻿ / ﻿24.300°N 93.150°E
Loktak,NHPC,,Manipur,North East,3 x 35,105,-,24°33′N 93°47′E﻿ / ﻿24.550°N 93.783°E
Umiam-Umtru Hydroelectric Power Project,MECL,East Khasi Hills,Meghalaya,North East,"6 x 9, 4 x 30",185,-,25°39′12″N 91°53′03″E﻿ / ﻿25.6532°N 91.8843°E
Leshka,,,Meghalaya,North East,,126,-,
Kyrdemkulai,,,Meghalaya,North East,,60,-,
Khondong,,,Meghalaya,North East,,50,-,
Kopili,,,Assam,North East,,225,-,
Karbi Langpi,,,Assam,North East,,100,-,
Doyang,,,Nagaland,North East,,75,-,
North East,,,,13,26,1341,2000,
TOTAL,,,,82,400,30908.9,4050,
